Round,Driver ID,Duration,Year
1,alonso,22.573,2018
1,bottas,21.664,2018
1,brendon_hartley,22.2545,2018
1,grosjean,23.054,2018
1,hamilton,21.821,2018
1,hulkenberg,22.628,2018
1,kevin_magnussen,21.983,2018
1,leclerc,22.539,2018
1,max_verstappen,20.953,2018
1,ocon,21.854,2018
1,perez,22.327,2018
1,raikkonen,21.421,2018
1,ricciardo,21.44,2018
1,sainz,23.868,2018
1,stroll,23.450499999999998,2018
1,vandoorne,22.474,2018
1,vettel,21.787,2018
2,alonso,24.787,2018
2,bottas,26.105,2018
2,brendon_hartley,36.646,2018
2,ericsson,25.194,2018
2,gasly,24.896,2018
2,grosjean,25.269,2018
2,hamilton,24.302,2018
2,hulkenberg,24.418,2018
2,kevin_magnussen,24.8675,2018
2,leclerc,25.351,2018
2,max_verstappen,30.381,2018
2,ocon,24.6575,2018
2,perez,24.8345,2018
2,raikkonen,25.018,2018
2,sainz,25.5375,2018
2,sirotkin,24.672,2018
2,stroll,29.125,2018
2,vandoorne,25.106,2018
2,vettel,24.524,2018
3,alonso,24.11,2018
3,bottas,22.097,2018
3,brendon_hartley,23.621000000000002,2018
3,ericsson,22.785,2018
3,gasly,29.299999999999997,2018
3,grosjean,23.358,2018
3,hamilton,22.464,2018
3,hulkenberg,23.4755,2018
3,kevin_magnussen,22.973,2018
3,leclerc,23.392,2018
3,max_verstappen,22.6555,2018
3,ocon,22.959,2018
3,perez,22.595,2018
3,raikkonen,22.913,2018
3,ricciardo,22.866500000000002,2018
3,sainz,23.526,2018
3,sirotkin,23.2195,2018
3,stroll,22.661,2018
3,vandoorne,23.73,2018
3,vettel,23.009,2018
4,alonso,56.71,2018
4,bottas,20.192,2018
4,brendon_hartley,21.08566666666667,2018
4,ericsson,34.038000000000004,2018
4,gasly,21.0345,2018
4,grosjean,22.241,2018
4,hamilton,20.853,2018
4,kevin_magnussen,28.692999999999998,2018
4,leclerc,21.058,2018
4,max_verstappen,19.765,2018
4,perez,27.1415,2018
4,raikkonen,25.5805,2018
4,ricciardo,19.925,2018
4,sainz,21.516,2018
4,stroll,19.737,2018
4,vandoorne,20.916666666666668,2018
4,vettel,20.43,2018
5,alonso,21.721,2018
5,bottas,23.213,2018
5,brendon_hartley,22.5515,2018
5,ericsson,22.1,2018
5,hamilton,22.085,2018
5,kevin_magnussen,22.917,2018
5,leclerc,21.995,2018
5,max_verstappen,21.74,2018
5,ocon,47.91,2018
5,perez,22.34,2018
5,ricciardo,21.618,2018
5,sainz,22.409,2018
5,sirotkin,22.64933333333333,2018
5,stroll,21.351,2018
5,vandoorne,27.416,2018
5,vettel,23.1635,2018
6,alonso,24.241,2018
6,bottas,24.02,2018
6,brendon_hartley,24.326,2018
6,ericsson,24.291,2018
6,gasly,24.296,2018
6,grosjean,24.6545,2018
6,hamilton,23.739,2018
6,hulkenberg,25.213,2018
6,kevin_magnussen,24.237,2018
6,leclerc,23.87,2018
6,max_verstappen,24.111,2018
6,ocon,24.663,2018
6,perez,29.379,2018
6,raikkonen,24.263,2018
6,ricciardo,24.542,2018
6,sainz,24.874,2018
6,sirotkin,27.514333333333337,2018
6,stroll,29.947666666666667,2018
6,vandoorne,26.127499999999998,2018
6,vettel,23.964,2018
7,alonso,23.099,2018
7,bottas,23.775,2018
7,ericsson,23.529,2018
7,gasly,24.107,2018
7,grosjean,24.4,2018
7,hamilton,23.335,2018
7,hulkenberg,24.521,2018
7,kevin_magnussen,24.008,2018
7,leclerc,23.666,2018
7,max_verstappen,23.137,2018
7,ocon,25.353,2018
7,perez,23.902,2018
7,raikkonen,23.645,2018
7,ricciardo,23.279,2018
7,sainz,24.416,2018
7,sirotkin,23.531,2018
7,vandoorne,32.2725,2018
7,vettel,23.529,2018
8,alonso,25.2885,2018
8,bottas,29.310499999999998,2018
8,brendon_hartley,24.297,2018
8,ericsson,24.295,2018
8,grosjean,29.996,2018
8,hamilton,24.31,2018
8,hulkenberg,25.016,2018
8,kevin_magnussen,25.419,2018
8,leclerc,25.026,2018
8,max_verstappen,24.395,2018
8,raikkonen,24.289,2018
8,ricciardo,24.309,2018
8,sainz,25.423,2018
8,sirotkin,26.273,2018
8,stroll,26.576,2018
8,vandoorne,24.399,2018
8,vettel,31.820500000000003,2018
9,alonso,21.588,2018
9,ericsson,21.519,2018
9,gasly,22.011,2018
9,grosjean,22.121,2018
9,hamilton,21.1125,2018
9,kevin_magnussen,22.138,2018
9,leclerc,21.364,2018
9,max_verstappen,21.214,2018
9,ocon,22.527,2018
9,perez,22.863,2018
9,raikkonen,21.552,2018
9,ricciardo,21.6045,2018
9,sainz,24.796,2018
9,sirotkin,23.966,2018
9,stroll,22.240000000000002,2018
9,vandoorne,34.5415,2018
9,vettel,23.912,2018
10,alonso,28.377000000000002,2018
10,bottas,27.894,2018
10,ericsson,28.207,2018
10,gasly,29.220999999999997,2018
10,grosjean,29.254,2018
10,hamilton,28.982,2018
10,hulkenberg,28.719,2018
10,kevin_magnussen,28.45,2018
10,leclerc,27.865,2018
10,max_verstappen,28.229,2018
10,ocon,29.41,2018
10,perez,28.743499999999997,2018
10,raikkonen,33.778999999999996,2018
10,ricciardo,28.0975,2018
10,sainz,28.576,2018
10,sirotkin,28.224,2018
10,stroll,27.774,2018
10,vandoorne,28.471,2018
10,vettel,28.4255,2018
11,alonso,20.334,2018
11,bottas,26.2335,2018
11,brendon_hartley,19.309,2018
11,ericsson,18.84,2018
11,gasly,19.659,2018
11,grosjean,20.198,2018
11,hamilton,18.978,2018
11,hulkenberg,20.168,2018
11,kevin_magnussen,19.818,2018
11,leclerc,20.37333333333333,2018
11,max_verstappen,19.375333333333334,2018
11,ocon,19.57,2018
11,perez,25.13,2018
11,raikkonen,19.647,2018
11,sainz,19.8985,2018
11,sirotkin,24.173,2018
11,stroll,19.500999999999998,2018
11,vandoorne,19.778,2018
11,vettel,18.657,2018
12,alonso,21.795,2018
12,bottas,21.337,2018
12,brendon_hartley,21.831,2018
12,ericsson,22.64,2018
12,gasly,21.684,2018
12,grosjean,21.733,2018
12,hamilton,21.48,2018
12,hulkenberg,22.308,2018
12,kevin_magnussen,25.126,2018
12,ocon,22.258,2018
12,perez,22.561,2018
12,raikkonen,23.15,2018
12,ricciardo,21.364,2018
12,sainz,21.914,2018
12,sirotkin,21.509,2018
12,stroll,21.291,2018
12,vandoorne,21.732,2018
12,vettel,23.111,2018
13,bottas,25.433999999999997,2018
13,brendon_hartley,18.084,2018
13,ericsson,19.711,2018
13,gasly,21.5445,2018
13,grosjean,21.764000000000003,2018
13,hamilton,20.8735,2018
13,kevin_magnussen,22.1625,2018
13,max_verstappen,21.1415,2018
13,ocon,21.4035,2018
13,perez,21.412,2018
13,raikkonen,30.909,2018
13,sainz,21.183,2018
13,sirotkin,21.064999999999998,2018
13,stroll,21.316499999999998,2018
13,vandoorne,21.2765,2018
13,vettel,20.9175,2018
14,bottas,23.763,2018
14,ericsson,27.7835,2018
14,gasly,27.792,2018
14,grosjean,24.779,2018
14,hamilton,23.728,2018
14,hulkenberg,24.845,2018
14,kevin_magnussen,38.563,2018
14,leclerc,24.084,2018
14,max_verstappen,24.003,2018
14,ocon,24.826999999999998,2018
14,perez,25.655,2018
14,raikkonen,23.862,2018
14,ricciardo,24.805,2018
14,sainz,25.774,2018
14,sirotkin,25.245,2018
14,stroll,26.44,2018
14,vandoorne,24.094,2018
14,vettel,28.259999999999998,2018
15,alonso,29.922,2018
15,bottas,28.542,2018
15,brendon_hartley,29.688,2018
15,ericsson,28.86,2018
15,gasly,28.931,2018
15,grosjean,29.517,2018
15,hamilton,28.946,2018
15,hulkenberg,31.183,2018
15,kevin_magnussen,29.814333333333334,2018
15,leclerc,29.31,2018
15,max_verstappen,29.681,2018
15,perez,28.293000000000003,2018
15,raikkonen,29.513,2018
15,ricciardo,28.779,2018
15,sainz,30.242,2018
15,sirotkin,32.2495,2018
15,stroll,28.767,2018
15,vandoorne,30.234,2018
15,vettel,28.722,2018
16,alonso,30.348,2018
16,bottas,29.794,2018
16,brendon_hartley,29.418,2018
16,ericsson,30.0985,2018
16,grosjean,30.469,2018
16,hamilton,29.551,2018
16,hulkenberg,30.625,2018
16,kevin_magnussen,29.904,2018
16,leclerc,30.397,2018
16,max_verstappen,29.37,2018
16,ocon,30.642,2018
16,perez,29.924,2018
16,raikkonen,29.531,2018
16,ricciardo,37.446,2018
16,sainz,30.021,2018
16,sirotkin,29.912,2018
16,stroll,29.266,2018
16,vandoorne,29.636,2018
16,vettel,29.798000000000002,2018
17,alonso,27.454,2018
17,bottas,22.777,2018
17,brendon_hartley,23.11,2018
17,ericsson,23.244,2018
17,gasly,23.376,2018
17,grosjean,23.692,2018
17,hamilton,22.614,2018
17,hulkenberg,23.555,2018
17,kevin_magnussen,29.007,2018
17,leclerc,32.7815,2018
17,max_verstappen,28.789,2018
17,ocon,23.316,2018
17,perez,23.635,2018
17,raikkonen,22.781,2018
17,ricciardo,22.864,2018
17,sainz,23.477,2018
17,sirotkin,23.6535,2018
17,stroll,26.7305,2018
17,vandoorne,23.159,2018
17,vettel,22.748,2018
18,bottas,23.478,2018
18,brendon_hartley,23.819,2018
18,ericsson,23.94,2018
18,gasly,24.042,2018
18,grosjean,35.104,2018
18,hamilton,23.804000000000002,2018
18,hulkenberg,24.681,2018
18,kevin_magnussen,23.723,2018
18,leclerc,34.812,2018
18,max_verstappen,23.446,2018
18,ocon,24.534,2018
18,perez,25.723,2018
18,raikkonen,23.714,2018
18,sainz,29.319,2018
18,sirotkin,23.700499999999998,2018
18,stroll,27.98466666666667,2018
18,vandoorne,24.130000000000003,2018
18,vettel,24.449,2018
19,bottas,22.834666666666667,2018
19,brendon_hartley,22.804000000000002,2018
19,ericsson,31.406,2018
19,gasly,22.8125,2018
19,grosjean,23.0795,2018
19,hamilton,22.334,2018
19,hulkenberg,23.037,2018
19,kevin_magnussen,22.39,2018
19,leclerc,22.588,2018
19,max_verstappen,22.131500000000003,2018
19,ocon,25.281,2018
19,perez,23.755,2018
19,raikkonen,22.017,2018
19,ricciardo,22.022,2018
19,sainz,22.66,2018
19,sirotkin,22.732,2018
19,stroll,23.911,2018
19,vandoorne,22.174,2018
19,vettel,22.2175,2018
20,alonso,28.3995,2018
20,bottas,22.841,2018
20,brendon_hartley,23.422,2018
20,ericsson,23.377,2018
20,gasly,23.757,2018
20,grosjean,23.403,2018
20,hamilton,22.641,2018
20,kevin_magnussen,23.115,2018
20,leclerc,23.593,2018
20,max_verstappen,23.432,2018
20,ocon,29.212,2018
20,perez,23.505,2018
20,raikkonen,22.766,2018
20,ricciardo,23.3,2018
20,sainz,23.8545,2018
20,sirotkin,23.273,2018
20,stroll,24.445500000000003,2018
20,vandoorne,22.618,2018
20,vettel,22.616999999999997,2018
21,alonso,21.726,2018
21,bottas,21.4445,2018
21,brendon_hartley,41.012,2018
21,gasly,22.493,2018
21,grosjean,22.354,2018
21,hamilton,21.283,2018
21,kevin_magnussen,21.587,2018
21,leclerc,21.828,2018
21,max_verstappen,21.057,2018
21,ocon,21.979,2018
21,perez,22.112,2018
21,ricciardo,21.061,2018
21,sainz,21.964,2018
21,sirotkin,22.755,2018
21,stroll,22.189,2018
21,vandoorne,22.317,2018
21,vettel,22.63,2018
1,albon,21.78,2019
1,bottas,22.014,2019
1,gasly,21.269,2019
1,giovinazzi,27.172,2019
1,grosjean,29.981,2019
1,hamilton,21.515,2019
1,hulkenberg,21.588,2019
1,kevin_magnussen,22.388,2019
1,kubica,25.743,2019
1,kvyat,22.086,2019
1,leclerc,22.306,2019
1,max_verstappen,21.157,2019
1,norris,21.627,2019
1,perez,23.234,2019
1,raikkonen,23.299,2019
1,ricciardo,33.027,2019
1,russell,21.616,2019
1,stroll,22.471,2019
1,vettel,21.995,2019
2,albon,25.2505,2019
2,bottas,24.865,2019
2,gasly,27.557,2019
2,giovinazzi,27.725,2019
2,grosjean,32.082,2019
2,hamilton,24.2895,2019
2,hulkenberg,25.375500000000002,2019
2,kevin_magnussen,24.948,2019
2,kubica,24.490000000000002,2019
2,kvyat,26.508,2019
2,leclerc,24.518,2019
2,max_verstappen,25.464,2019
2,norris,24.175,2019
2,perez,26.967,2019
2,raikkonen,25.634,2019
2,ricciardo,25.676,2019
2,russell,24.7725,2019
2,sainz,35.2885,2019
2,stroll,30.469,2019
2,vettel,24.228,2019
3,albon,23.215,2019
3,bottas,22.196,2019
3,gasly,22.301,2019
3,giovinazzi,25.1605,2019
3,grosjean,23.3905,2019
3,hamilton,23.1205,2019
3,hulkenberg,24.107,2019
3,kevin_magnussen,23.673499999999997,2019
3,kubica,32.627,2019
3,kvyat,28.837666666666667,2019
3,leclerc,22.921,2019
3,max_verstappen,22.793999999999997,2019
3,norris,35.63333333333333,2019
3,perez,23.733,2019
3,raikkonen,23.888,2019
3,ricciardo,23.506,2019
3,russell,24.332,2019
3,sainz,45.878,2019
3,stroll,23.466,2019
3,vettel,22.5325,2019
4,albon,20.72,2019
4,bottas,20.006,2019
4,giovinazzi,20.776,2019
4,grosjean,20.906,2019
4,hamilton,19.993,2019
4,hulkenberg,21.0975,2019
4,kevin_magnussen,20.488500000000002,2019
4,kubica,18.936333333333334,2019
4,kvyat,21.013,2019
4,leclerc,20.119500000000002,2019
4,max_verstappen,20.973,2019
4,norris,20.9495,2019
4,perez,20.939,2019
4,raikkonen,21.401,2019
4,ricciardo,20.884,2019
4,russell,20.613,2019
4,sainz,19.755,2019
4,stroll,23.099,2019
4,vettel,19.981,2019
5,albon,30.468,2019
5,bottas,22.026,2019
5,gasly,22.563,2019
5,giovinazzi,22.944000000000003,2019
5,grosjean,22.379,2019
5,hamilton,22.387999999999998,2019
5,hulkenberg,22.193,2019
5,kevin_magnussen,22.508499999999998,2019
5,kubica,21.954,2019
5,kvyat,27.935,2019
5,leclerc,23.646,2019
5,max_verstappen,22.4785,2019
5,norris,21.579,2019
5,perez,22.8385,2019
5,raikkonen,22.342,2019
5,ricciardo,22.5405,2019
5,russell,22.442,2019
5,sainz,21.468,2019
5,stroll,23.321,2019
5,vettel,22.694499999999998,2019
6,albon,25.062,2019
6,bottas,24.903,2019
6,gasly,24.009500000000003,2019
6,giovinazzi,35.651,2019
6,grosjean,24.219,2019
6,hamilton,24.266,2019
6,hulkenberg,25.532,2019
6,kevin_magnussen,25.419,2019
6,kubica,23.946,2019
6,kvyat,24.023,2019
6,leclerc,25.8345,2019
6,max_verstappen,24.011,2019
6,norris,25.026,2019
6,perez,28.463,2019
6,raikkonen,26.299,2019
6,ricciardo,24.269,2019
6,russell,26.165,2019
6,sainz,23.795,2019
6,stroll,24.591,2019
6,vettel,24.483,2019
7,albon,37.95,2019
7,bottas,23.725,2019
7,gasly,23.485,2019
7,giovinazzi,23.884,2019
7,grosjean,24.071,2019
7,hamilton,23.662,2019
7,hulkenberg,24.03,2019
7,kevin_magnussen,24.381,2019
7,kubica,24.1645,2019
7,kvyat,23.825,2019
7,leclerc,23.732,2019
7,max_verstappen,23.426,2019
7,perez,24.076,2019
7,raikkonen,25.003999999999998,2019
7,ricciardo,23.927,2019
7,russell,23.686,2019
7,sainz,24.727,2019
7,stroll,23.727,2019
7,vettel,23.782,2019
8,albon,30.279,2019
8,bottas,30.412,2019
8,gasly,30.228,2019
8,giovinazzi,31.2695,2019
8,grosjean,30.837,2019
8,hamilton,30.186,2019
8,hulkenberg,30.884,2019
8,kevin_magnussen,30.832,2019
8,kubica,29.792,2019
8,kvyat,30.233,2019
8,leclerc,30.203,2019
8,max_verstappen,30.118,2019
8,norris,30.576,2019
8,perez,37.286,2019
8,raikkonen,29.975,2019
8,ricciardo,31.031,2019
8,russell,34.722,2019
8,sainz,29.92,2019
8,stroll,30.849,2019
8,vettel,30.256,2019
9,albon,21.225,2019
9,bottas,22.552,2019
9,gasly,22.239,2019
9,giovinazzi,21.672,2019
9,grosjean,22.265,2019
9,hamilton,30.067,2019
9,hulkenberg,21.985,2019
9,kevin_magnussen,20.592,2019
9,kubica,21.525,2019
9,kvyat,25.091,2019
9,leclerc,21.878,2019
9,max_verstappen,21.11,2019
9,norris,21.547,2019
9,perez,22.33,2019
9,raikkonen,21.709,2019
9,ricciardo,22.305,2019
9,russell,22.772,2019
9,sainz,21.266,2019
9,stroll,21.982,2019
9,vettel,23.7435,2019
10,albon,28.954,2019
10,bottas,28.335,2019
10,gasly,27.905,2019
10,grosjean,33.562,2019
10,hamilton,28.905,2019
10,hulkenberg,28.926,2019
10,kevin_magnussen,32.767,2019
10,kubica,28.694,2019
10,kvyat,29.094,2019
10,leclerc,28.453,2019
10,max_verstappen,27.8885,2019
10,norris,28.097,2019
10,perez,32.34766666666666,2019
10,raikkonen,28.364,2019
10,ricciardo,28.3985,2019
10,russell,30.245,2019
10,sainz,27.98,2019
10,stroll,29.737000000000002,2019
10,vettel,33.2445,2019
11,albon,20.576,2019
11,bottas,21.3705,2019
11,gasly,29.667,2019
11,giovinazzi,22.509,2019
11,grosjean,27.232,2019
11,hamilton,20.203,2019
11,hulkenberg,21.125,2019
11,kevin_magnussen,21.1425,2019
11,kubica,22.118499999999997,2019
11,kvyat,22.289,2019
11,leclerc,21.2315,2019
11,max_verstappen,20.999000000000002,2019
11,norris,20.822000000000003,2019
11,raikkonen,27.256,2019
11,ricciardo,21.224,2019
11,russell,20.002499999999998,2019
11,sainz,23.363,2019
11,stroll,21.978,2019
11,vettel,20.431,2019
12,albon,23.676,2019
12,bottas,27.536,2019
12,gasly,22.104,2019
12,giovinazzi,23.218,2019
12,grosjean,22.035,2019
12,hamilton,22.134999999999998,2019
12,hulkenberg,21.734,2019
12,kevin_magnussen,21.618,2019
12,kubica,21.754,2019
12,kvyat,23.002,2019
12,leclerc,21.575,2019
12,max_verstappen,21.4345,2019
12,norris,26.066,2019
12,perez,21.901,2019
12,raikkonen,22.205,2019
12,ricciardo,22.498,2019
12,russell,21.333,2019
12,sainz,21.832,2019
12,stroll,21.823999999999998,2019
12,vettel,24.819,2019
13,albon,22.506,2019
13,bottas,22.579,2019
13,gasly,22.772,2019
13,giovinazzi,23.044,2019
13,grosjean,22.912,2019
13,hamilton,23.497,2019
13,hulkenberg,23.2375,2019
13,kevin_magnussen,22.584,2019
13,kubica,24.247,2019
13,kvyat,22.834,2019
13,leclerc,22.449,2019
13,norris,23.182,2019
13,perez,23.133,2019
13,raikkonen,30.313999999999997,2019
13,ricciardo,27.62,2019
13,russell,22.442,2019
13,sainz,59.291,2019
13,stroll,24.012,2019
13,vettel,22.8245,2019
14,albon,29.83,2019
14,bottas,23.7,2019
14,gasly,24.363,2019
14,giovinazzi,25.698,2019
14,grosjean,25.801000000000002,2019
14,hamilton,23.8215,2019
14,hulkenberg,24.092,2019
14,kevin_magnussen,24.689,2019
14,kubica,27.851,2019
14,kvyat,24.479,2019
14,leclerc,23.833,2019
14,max_verstappen,27.756999999999998,2019
14,norris,24.311,2019
14,perez,25.34,2019
14,raikkonen,28.4805,2019
14,ricciardo,24.32,2019
14,russell,24.198,2019
14,sainz,27.01,2019
14,stroll,21.628500000000003,2019
14,vettel,29.55666666666667,2019
15,albon,28.606,2019
15,bottas,29.234,2019
15,gasly,32.482,2019
15,giovinazzi,29.015,2019
15,grosjean,36.516,2019
15,hamilton,28.93,2019
15,hulkenberg,29.3575,2019
15,kevin_magnussen,30.1595,2019
15,kubica,29.677,2019
15,kvyat,31.755,2019
15,leclerc,29.168,2019
15,max_verstappen,28.846,2019
15,norris,30.397,2019
15,perez,29.082,2019
15,raikkonen,29.992,2019
15,ricciardo,30.756,2019
15,russell,38.752,2019
15,sainz,30.623,2019
15,stroll,32.71,2019
15,vettel,29.384,2019
16,albon,29.854,2019
16,bottas,29.436,2019
16,gasly,29.935,2019
16,giovinazzi,34.21,2019
16,hamilton,29.751,2019
16,hulkenberg,32.025000000000006,2019
16,kevin_magnussen,30.509,2019
16,kubica,30.381999999999998,2019
16,kvyat,30.162,2019
16,leclerc,29.4745,2019
16,max_verstappen,29.978,2019
16,norris,29.29,2019
16,perez,30.271,2019
16,raikkonen,30.775,2019
16,ricciardo,36.031,2019
16,russell,29.857,2019
16,sainz,30.103,2019
16,stroll,30.168,2019
16,vettel,29.86,2019
17,albon,23.3275,2019
17,bottas,23.0785,2019
17,gasly,23.18,2019
17,giovinazzi,23.351,2019
17,grosjean,23.478,2019
17,hamilton,23.5865,2019
17,hulkenberg,24.132,2019
17,kevin_magnussen,24.0645,2019
17,kubica,24.852,2019
17,kvyat,23.293,2019
17,leclerc,25.787333333333333,2019
17,norris,24.648000000000003,2019
17,perez,23.0905,2019
17,raikkonen,23.816000000000003,2019
17,ricciardo,23.292,2019
17,russell,23.792,2019
17,sainz,23.476,2019
17,stroll,23.292,2019
17,vettel,23.622500000000002,2019
18,albon,22.0975,2019
18,bottas,22.179,2019
18,gasly,22.6535,2019
18,giovinazzi,43.411,2019
18,grosjean,24.128,2019
18,hamilton,22.269,2019
18,hulkenberg,22.484,2019
18,kevin_magnussen,23.084,2019
18,kubica,23.588,2019
18,kvyat,22.261499999999998,2019
18,leclerc,23.894,2019
18,max_verstappen,24.493,2019
18,perez,22.357,2019
18,raikkonen,22.8585,2019
18,ricciardo,22.345,2019
18,russell,22.887,2019
18,sainz,22.21,2019
18,stroll,22.745,2019
18,vettel,21.862,2019
19,albon,27.006,2019
19,bottas,23.985,2019
19,gasly,24.195,2019
19,giovinazzi,24.718,2019
19,grosjean,24.583,2019
19,hamilton,23.943,2019
19,hulkenberg,23.9645,2019
19,kevin_magnussen,24.83,2019
19,kubica,24.164,2019
19,kvyat,25.6385,2019
19,leclerc,26.500500000000002,2019
19,max_verstappen,23.58,2019
19,norris,24.678,2019
19,perez,24.207,2019
19,raikkonen,24.615000000000002,2019
19,ricciardo,23.751,2019
19,russell,23.701999999999998,2019
19,sainz,24.784,2019
19,stroll,24.881,2019
20,albon,23.073,2019
20,bottas,23.179000000000002,2019
20,gasly,23.253,2019
20,giovinazzi,23.3395,2019
20,grosjean,23.776,2019
20,hamilton,22.985,2019
20,hulkenberg,23.47,2019
20,kevin_magnussen,23.891,2019
20,kubica,26.564500000000002,2019
20,kvyat,23.0685,2019
20,leclerc,22.966,2019
20,max_verstappen,22.7375,2019
20,norris,23.381,2019
20,perez,23.110500000000002,2019
20,raikkonen,23.463,2019
20,ricciardo,30.125500000000002,2019
20,russell,22.5,2019
